Cristiano Ronaldo dos Santos Aveiro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rey Manaj can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dominic Solanke can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jean-Victor Makengo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Güven Yalçın can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ayaz Guliev can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sergio Córdova can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Igor Zlatanović can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gabriele Moncini can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Brian Mansilla can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jeremy Ebobisse can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Claudio Spinelli can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Amer Gojak can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Boulaye Dia can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Asier Villalibre Molina can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ignacio Jeraldino can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Felix Platte can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Florian Kamberi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
James Igbekeme can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marcus Ingvartsen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Arnaud Lusamba can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sam Cosgrove can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Elvir Koljić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Florin Durmishaj can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mauro Caballero can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Uroš Đurđević can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nicolas Haas can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nicolás Ibáñez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yusupha Njie can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ademilson Braga Bispo Júnior can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Georgios Giakoumakis can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tomáš Chorý can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Håvard Kallevik Nielsen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Zinho Gano can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leke James can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lucas Eduardo Dos Santos João can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mamadou Sylla Diallo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Connor Wickham can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Abdón Prats Bastidas can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Youssoufou Niakaté can substitute for the position ls, Left striking position, which is a(n) attacker position. 
杉本 健勇 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Benjamin Jeannot can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Idriss Saadi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Branimir Hrgota can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Scott Hogan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ernesto Torregrossa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yannick Gomis can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jovan Stojanović can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luis Conderia can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Umut Bulut can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Davide Moscardelli can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Emanuele Calaiò can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leon Clarke can substitute for the position ls, Left striking position, which is a(n) attacker position. 
郜林 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Víctor Manuel Casadesús Castaño can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adam Le Fondre can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Steven Fletcher can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cameron Jerome can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kyle Lafferty can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sami Allagui can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fraizer Campbell can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mirko Bruccini can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ânderson Miguel da Silva can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrés Ríos can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Raúl Bobadilla can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gianni Bruno can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lasse Vibe can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kolbeinn Sigþórsson can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Wellington Luís de Sousa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marcelo Alejandro Larrondo Páez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sloan Privat can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Stephan Hain can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Zaur Sadaev can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mustapha Yatabaré can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mustafa Pektemek can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mouhssine Iajour can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alexander Esswein can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Manuel Schäffler can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Moestafa El Kabir can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lyle Taylor can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Danny Hoesen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marvin Pourié can substitute for the position ls, Left striking position, which is a(n) attacker position. 
内田 篤人 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mario Rondón can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Idrissa Sylla can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Petar Škuletić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Will Grigg can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Pascal Testroet can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lacina Traoré can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ángel Baltazar Sepúlveda Sánchez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mauro Quiroga can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrea La Mantia can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Álvaro Vázquez García can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Elias Kachunga can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Matthías Vilhjálmsson can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Duvier Orlando Riascos Barahona can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luís Leal dos Anjos can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Pietro Iemmello can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ronnie Alan Fernández Sáez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Juan Caicedo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Martín Cauteruccio can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Martín Barragán Negrete can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fanendo Adi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leandro Marcos Pereira can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yacine Bammou can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marcos Daniel Riquelme can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Edder Farias can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Severino Pedro Santos Hermes can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leonardo Fabio Castro Loaiza can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Christian Ramirez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dever Orgill can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Daniel Keita-Ruel can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Diego Valdes Giraldo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Musa Barrow can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Timothy Weah can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Maximiliano Romero can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Stiven Plaza can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ricardo Márquez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ibrahima Niane can substitute for the position ls, Left striking position, which is a(n) attacker position. 
José Juan Macías can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dejan Joveljić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Janni-Luca Serra can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cheick Timite can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alexis Vega can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Emmanuel Apeh can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jonas Wind can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Blessing Eleke can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Eamonn Brophy can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gabriel Alonso Suazo Urbina can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lazaros Lamprou can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dylan Vente can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adam Bareiro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Denilson Pereira Junior can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Zander Mateo Cassierra Cabezas can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Silvère Ganvoula M'boussy can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marc Gual Huguet can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Edwar López can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ashley Fletcher can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gustav Engvall can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Carlos Strandberg can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yakou Meité can substitute for the position ls, Left striking position, which is a(n) attacker position. 
João Klauss de Mello can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kwasi Okyere Wriedt can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gaetano Monachello can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lukas Spalvis can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Juan Cruz Kaprof can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alexander Mesa Travieso can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Joseph Amoah can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Bruno Pereira Mendes can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alejandro López de Groot can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mohamed Buya Turay can substitute for the position ls, Left striking position, which is a(n) attacker position. 
知念 庆 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adam Zreľák can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Erick Estéfano Torres Padilla can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Saido Berahino can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Diego Iván Rubio Kostner can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Abdel Slem Billel Omrani can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Guillermo Fernández Hierro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Borys Tashchy can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mohamed Lamine Yattara can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kenan Kodro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jamie Maclaren can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Umut Nayir can substitute for the position ls, Left striking position, which is a(n) attacker position. 
铃木 武藏 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luiz Philipe Lima de Oliveira can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kacper Przybyłko can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dimitris Diamantakos can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Douglas Willian da Silva Souza can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jonathan Bolingi Mpangi Merikani can substitute for the position ls, Left striking position, which is a(n) attacker position. 
John Marquis can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Juan Agudelo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tom Bradshaw can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Richard Boateng can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mike van Duinen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lars Veldwijk can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Johannes Wurtz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jón Daði Böðvarsson can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tobías Figueroa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mattia Montini can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Stefan Mugoša can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Crislan Henrique da Silva de Sousa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sam Johnson can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Matías Rodrigo Campos López can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nikola Stojiljković can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Borja Galán González can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Brayan Alexis Fernández Garcés can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yuri de Souza Fonseca can substitute for the position ls, Left striking position, which is a(n) attacker position. 
大久保 嘉人 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lucas Matías Licht can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Chris Wondolowski can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Carlos Javier Acuña Caballero can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Joe Garner can substitute for the position ls, Left striking position, which is a(n) attacker position. 
İlhan Parlak can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rúrik Gíslason can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Edgar Bruno da Silva can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dejan Damjanović can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Te Se Chong can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tomáš  Necid can substitute for the position ls, Left striking position, which is a(n) attacker position. 
张呈栋 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Diego Vera can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ande Dona N'Doh can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Riccardo Maniero can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Michiel Kramer can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gary Madine can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andy King can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Guillermo Federico Molins Palmeiro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leandro Carrijo da Silva can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rudy Gestede can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Manuel Barreiro Bustelo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Aziz Bouhaddouz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gleidionor Figueiredo Pinto Júnior can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Artur Sobiech can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Duje Čop can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Erik Falkenburg can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jael Ferreira Vieira can substitute for the position ls, Left striking position, which is a(n) attacker position. 
David Blacha can substitute for the position ls, Left striking position, which is a(n) attacker position. 
James Collins can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Niccolò Giannetti can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fabio Mazzeo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Denis Alibec can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Douglas da Silva Vieira can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Patrick Hoban can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Will Bruin can substitute for the position ls, Left striking position, which is a(n) attacker position. 
C.J. Sapong can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Héber Araújo dos Santos can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ahmed Ali Kamel can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tomer Hemed can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cristian Insaurralde can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Darren Mattocks can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Magnus Eriksson can substitute for the position ls, Left striking position, which is a(n) attacker position. 
永井 謙佑 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Felipe Ignacio Flores Chandia can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leandro Iván Benegas can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Maximiliano Urruti can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rodrigo Salinas can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Carlos Auzqui can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Maikel Mesa Piñero can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Armando Sadiku can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Enrique Luis Triverio can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mate Maleš can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luiz Fernando da Silva Monte can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Erdem Özgenç can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lee Gregory can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luís Miguel  Coimbra Aurélio can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Hugo Alejandro Héctor Vilches Manuguian can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rodrigo Cunha Pereira de Pinho can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fabian Schleusener can substitute for the position ls, Left striking position, which is a(n) attacker position. 
川又 堅碁 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
渡邉 千真 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sandeiro Luan Leal Neto can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Christian Beck can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Hamadi Al Ghaddioui can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cory Burke can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Manuel Balda can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Michele De Agostini can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Amine Gouiri can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ahmed Kutucu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fábio Daniel Soares Silva can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Abel Ruiz Ortega can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Christian Kouan can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sandro Lauper can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leonardo Candellone can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gorka Guruzeta Rodríguez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Denis Drăguș can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrea Favilli can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Saša Kalajdžić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Václav Drchal can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ivan Toney can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cedric Teuchert can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ivan Šaponjić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kaj Sierhuis can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Raphael Dwamena can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leonardo Miramar Rocha can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Getúlio Silva Timoteo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sam Gallagher can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Federico Bonazzoli can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Antonino La Gumina can substitute for the position ls, Left striking position, which is a(n) attacker position. 
João Lamine Jaquité can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Antonio Martínez López can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Aliou Badji can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Wilfried Kanga can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ferdy Druijf can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Maximiliano Salas can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cristian Daniel Arango Duque can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Vittorio Parigini can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Daniel Romera Andújar can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Grejohn Kyei can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Carlos Alberto Ibargüen Hinojosa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Evangelos Pavlidis can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Moussa Koné can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dani de Wit can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cauley Woodrow can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrija Novakovich can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adam Buksa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rivaldo Vítor Borba Ferreira Jr. can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Walter Rodrigo González Sosa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
David Fernando Lemos Cortés can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adrian Grbic can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nicolás Orsini can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cyriel Dessers can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Pelle van Amersfoort can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Babacar Gueye can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Chris Bedia can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sory Kaba can substitute for the position ls, Left striking position, which is a(n) attacker position. 
北川 航也 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Caleb Ekuban can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Anthony Blondell can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Corey Baird can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kevin Friesenbichler can substitute for the position ls, Left striking position, which is a(n) attacker position. 
João Miguel Ribeiro Vigário can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Judson Silva Tavares can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Komnen Andrić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dennis Srbeny can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gonçalo de Almeida Gregório can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lazarous Kambole can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Josh Vela can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Said Ahmed Said can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrés Rentería can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Filip Raičević can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mario Barco Vilar can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cebio Soukou can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Oussama Darfalou can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Maximiliano Comba can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Haris Vučkić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Karl Holmberg can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Federico Oscar Andrada can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alexander Jeremejeff can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marc McNulty can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dominique Badji can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mayron Antonio George Clayton can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Christoph Monschein can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mihai Bordeianu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tom Eaves can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Denis Thomalla can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Elvis Manu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Édson Rivera can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Amidu Salifu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrew Nabbout can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alhassane Keita can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ognjen Mudrinski can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fábio Gonçalves Abreu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cris Robert Martínez Escobar can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Benjamin Girth can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Souleymane Camara can substitute for the position ls, Left striking position, which is a(n) attacker position. 
정조국 郑兆国 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
이동국 李东国 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
David Nugent can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Zlatko Dedič can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Oriol Riera Magem can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Steve Morison can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Behrang Safari can substitute for the position ls, Left striking position, which is a(n) attacker position. 
오범석 吴范锡 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Colin Kazim-Richards can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Carmelo Enrique Valencia Chaverra can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Anthony Pilkington can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Danny Hylton can substitute for the position ls, Left striking position, which is a(n) attacker position. 
肖智 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tomáš Pekhart can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Hal Robson-Kanu can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Eduardo Herrera Aguirre can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Daniel Arreola Argüello can substitute for the position ls, Left striking position, which is a(n) attacker position. 
